,Unnamed: 0,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape.1,mean,std,min,max,scores_kfold
10,10,exist21,10,"(2655, 2)","(886, 2)",0.7458136068456278,0.7039591315453384,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress']",10,"(2655, 2)",0.7327572215273372,0.0194765867327789,0.7039913079602467,0.7589034876131558,"[0.7589034876131558, 0.7288049029622063, 0.7228453647780654, 0.7492410443230115, 0.7039913079602467]"
11,11,exist21,11,"(2655, 2)","(886, 2)",0.7458136068456278,0.7153256704980843,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",11,"(2655, 2)",0.7410933760370202,0.01686201395124,0.7153724641025185,0.7606112777550984,"[0.7587528750319448, 0.7344595097834067, 0.7362707535121329, 0.7606112777550984, 0.7153724641025185]"
12,12,exist21,12,"(2655, 2)","(886, 2)",0.7446659831780182,0.7094508301404853,"['haha21', 'mexa3t18_aggress', 'misogyny_centrogeo']",12,"(2655, 2)",0.7376457580458312,0.0164943102067074,0.7094360271753034,0.7569759562337466,"[0.7569759562337466, 0.7363455809334658, 0.7344482079838266, 0.7510230179028132, 0.7094360271753034]"
13,13,exist21,13,"(2655, 2)","(886, 2)",0.7493322050487338,0.7171136653895274,"['meoffendes21', 'metwo22', 'haha18']",13,"(2655, 2)",0.7391228673257606,0.0203028453029106,0.7171519886363638,0.7683320031923384,"[0.7683320031923384, 0.725038304392237, 0.7266821675156635, 0.7584098728922001, 0.7171519886363638]"
14,14,exist21,14,"(2655, 2)","(886, 2)",0.7447336885851966,0.7151979565772669,"['davincis22', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",14,"(2655, 2)",0.7395595892641383,0.0184204837297475,0.7152268957703658,0.7643811788928133,"[0.7568931556438876, 0.7344632768361582, 0.7268334391774669, 0.7643811788928133, 0.7152268957703658]"
15,15,exist21,15,"(2655, 2)","(886, 2)",0.7502178192055946,0.7227969348659005,"['davincis22', 'detoxis21_aggressiveness', 'misogyny_centrogeo', 'metwo22']",15,"(2655, 2)",0.7436972855662569,0.0163153933800911,0.7228453647780653,0.7642606753065943,"[0.7607064158656149, 0.7306356577047646, 0.7400383141762452, 0.7642606753065943, 0.7228453647780653]"
16,16,exist21,16,"(2655, 2)","(886, 2)",0.7446659831780182,0.7170498084291188,"['haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",16,"(2655, 2)",0.7380339323334157,0.014026358900268,0.717071611253197,0.7550738007380073,"[0.7550738007380073, 0.7288049029622063, 0.738196328810854, 0.7510230179028132, 0.717071611253197]"
17,17,exist21,17,"(2655, 2)","(886, 2)",0.7548513452688943,0.7245210727969349,"['davincis22', 'metwo22']",17,"(2655, 2)",0.7420940231804533,0.0170354831282128,0.7245302595298331,0.7701787994891443,"[0.7701787994891443, 0.7288125975315648, 0.7341577988687567, 0.7527906604829682, 0.7245302595298331]"
18,18,exist21,18,"(2655, 2)","(886, 2)",0.7446659831780182,0.7134099616858237,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'haha18']",18,"(2655, 2)",0.7383963658999149,0.0196732068798937,0.7134539464341503,0.7645650438946529,"[0.7645650438946529, 0.7288125975315648, 0.7267403687470055, 0.7584098728922001, 0.7134539464341503]"
19,19,exist21,19,"(2655, 2)","(886, 2)",0.7447011423908609,0.7150702426564495,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",19,"(2655, 2)",0.7368604701137395,0.013521712993156,0.7150487765872382,0.7531240572817774,"[0.7531240572817774, 0.7344595097834067, 0.7325715015321757, 0.7490985053840988, 0.7150487765872382]"
20,20,exist21,20,"(2655, 2)","(886, 2)",0.7491480635024282,0.7227330779054917,"['davincis22', 'haha21', 'misogyny_centrogeo', 'metwo22']",20,"(2655, 2)",0.7448346760552279,0.0172924644893366,0.7227705541605549,0.7683089922915107,"[0.7683089922915107, 0.7306356577047646, 0.7419046977056066, 0.7605534784137028, 0.7227705541605549]"
21,21,exist21,21,"(2655, 2)","(886, 2)",0.750449572094031,0.7172413793103448,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",21,"(2655, 2)",0.7403004100971415,0.015927745864569,0.7172885254280603,0.7626908234492934,"[0.7626908234492934, 0.7363455809334658, 0.7323056604845352, 0.752871460190353, 0.7172885254280603]"
22,22,exist21,22,"(2655, 2)","(886, 2)",0.7435175443630405,0.7208173690932311,"['davincis22', 'detoxis21_aggressiveness', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",22,"(2655, 2)",0.7365120213292474,0.0119530511802332,0.720843989769821,0.7531240572817774,"[0.7531240572817774, 0.7287664235648004, 0.7325031928480206, 0.7473224431818182, 0.720843989769821]"
23,23,exist21,23,"(2655, 2)","(886, 2)",0.7504241257783075,0.7189655172413794,"['detoxis21_aggressiveness', 'misogyny_centrogeo', 'metwo22', 'haha18']",23,"(2655, 2)",0.7391777947873737,0.0152018676211568,0.7189987249654605,0.7588761174968073,"[0.7588761174968073, 0.7306624102154828, 0.7325563248396799, 0.7547953964194374, 0.7189987249654605]"
24,24,exist21,24,"(2655, 2)","(886, 2)",0.7458136068456278,0.7208173690932311,"['davincis22', 'meoffendes21', 'misogyny_centrogeo', 'metwo22', 'haha18']",24,"(2655, 2)",0.7387767896361485,0.01390566043887,0.720843989769821,0.7566444149966072,"[0.7531696100661067, 0.7344595097834067, 0.7287664235648004, 0.7566444149966072, 0.720843989769821]"
25,25,exist21,25,"(2655, 2)","(886, 2)",0.7413290394468944,0.707471264367816,"['mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",25,"(2655, 2)",0.7338264247208921,0.0159881143601512,0.7073964128908403,0.7531240572817774,"[0.7531240572817774, 0.7325715015321757, 0.7287895125134782, 0.7472506393861893, 0.7073964128908403]"
26,26,exist21,26,"(2655, 2)","(886, 2)",0.7413290394468944,0.713346104725415,"['davincis22', 'detoxis21_aggressiveness', 'mexa3t18_aggress']",26,"(2655, 2)",0.7331386768386003,0.0167409725204712,0.7133806818181818,0.7532641660015962,"[0.7532641660015962, 0.7212717058222675, 0.7247649748643813, 0.7530118556865752, 0.7133806818181818]"
27,27,exist21,27,"(2655, 2)","(886, 2)",0.7401083540790923,0.7189655172413794,"['davincis22', 'detoxis21_aggressiveness', 'mexa3t18_aggress', 'misogyny_centrogeo']",27,"(2655, 2)",0.7376573036758443,0.0119086783881547,0.7189987249654605,0.7531240572817774,"[0.7531240572817774, 0.736338100102145, 0.7325031928480206, 0.7473224431818182, 0.7189987249654605]"
28,28,exist21,28,"(2655, 2)","(886, 2)",0.7479136125220249,0.7191570881226053,"['davincis22', 'detoxis21_aggressiveness', 'haha21']",28,"(2655, 2)",0.7421882332071548,0.0185175915547334,0.7192021720227848,0.7701070292982057,"[0.7701070292982057, 0.7306929780072847, 0.7342219697910936, 0.7567170169164052, 0.7192021720227848]"
29,29,exist21,29,"(2655, 2)","(886, 2)",0.7457773016814278,0.7095785440613027,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21']",29,"(2655, 2)",0.738038134177694,0.0205665546599753,0.709609375,0.7645115854978164,"[0.7645115854978164, 0.7306929780072848, 0.7267403687470055, 0.7586363636363636, 0.709609375]"
30,30,exist21,30,"(2655, 2)","(886, 2)",0.7414397985490127,0.7172413793103448,"['mexa3t18_aggress', 'metwo22', 'haha18']",30,"(2655, 2)",0.7391329744806635,0.0178902687603323,0.7172885254280603,0.764581744666513,"[0.764581744666513, 0.7344595097834067, 0.724616368286445, 0.7547187242388924, 0.7172885254280603]"
31,31,exist21,31,"(2655, 2)","(886, 2)",0.7469255762472392,0.7057471264367816,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",31,"(2655, 2)",0.7368984974728,0.0176769761591939,0.7057544757033248,0.7548650568181818,"[0.7531240572817774, 0.7344482079838266, 0.7363006895768891, 0.7548650568181818, 0.7057544757033248]"
32,32,exist21,32,"(2655, 2)","(886, 2)",0.742474694678871,0.7093869731800766,"['detoxis21_aggressiveness', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",32,"(2655, 2)",0.7353400933342404,0.0155190736697419,0.7093368783234282,0.7531240572817774,"[0.7531240572817774, 0.7344595097834067, 0.7306815158984907, 0.7490985053840988, 0.7093368783234282]"
33,33,exist21,33,"(2655, 2)","(886, 2)",0.7448572884811417,0.7096424010217114,"['haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22', 'haha18']",33,"(2655, 2)",0.7342592167922597,0.0173975821482274,0.7096836036240735,0.7570587004401381,"[0.7570587004401381, 0.7269264462311629, 0.7266821675156635, 0.7509451661502602, 0.7096836036240735]"
34,34,exist21,34,"(2655, 2)","(886, 2)",0.7459768518459525,0.722860791826309,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'metwo22', 'haha18']",34,"(2655, 2)",0.7399245564949676,0.0171866211223246,0.7229122663779486,0.7683320031923384,"[0.7683320031923384, 0.7306929780072848, 0.7267403687470055, 0.7509451661502602, 0.7229122663779486]"
35,35,exist21,35,"(2655, 2)","(886, 2)",0.7526247145802177,0.7171136653895274,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'metwo22', 'haha18']",35,"(2655, 2)",0.7379817886651039,0.0167399150724668,0.7171519886363638,0.7645650438946529,"[0.7645650438946529, 0.7288125975315648, 0.7304520686533786, 0.7489272446095596, 0.7171519886363638]"
36,36,exist21,36,"(2655, 2)","(886, 2)",0.7436744473545025,0.7153895274584929,"['mexa3t18_aggress', 'metwo22']",36,"(2655, 2)",0.7364961898544928,0.0173432846932391,0.7154330736606747,0.7589445311391686,"[0.7589445311391686, 0.7306967984934086, 0.7226878217403198, 0.7547187242388924, 0.7154330736606747]"
37,37,exist21,37,"(2655, 2)","(886, 2)",0.7458136068456278,0.7020434227330778,"['haha21', 'meoffendes21', 'mexa3t18_aggress']",37,"(2655, 2)",0.7346386723051734,0.0238155690917263,0.7020667613636363,0.7683484367518487,"[0.7683484367518487, 0.7231481317278192, 0.7247649748643813, 0.7548650568181818, 0.7020667613636363]"
38,38,exist21,38,"(2655, 2)","(886, 2)",0.7446659831780182,0.7059386973180077,"['davincis22', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",38,"(2655, 2)",0.74261506915056,0.0227759984248793,0.7059800664451827,0.7700090885853048,"[0.7626099914845302, 0.7325715015321757, 0.7419046977056066, 0.7700090885853048, 0.7059800664451827]"
39,39,exist21,39,"(2655, 2)","(886, 2)",0.7493539261411424,0.7284802043422733,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'metwo22', 'haha18']",39,"(2655, 2)",0.7376108544498698,0.0148236394674808,0.7210580117556862,0.7608252322162599,"[0.7608252322162599, 0.7288049029622063, 0.7210580117556862, 0.7488308076407388, 0.7285353176744582]"
40,40,exist21,40,"(2655, 2)","(886, 2)",0.7559639485241236,0.7151979565772669,"['metwo22', 'haha18']",40,"(2655, 2)",0.7425046325840439,0.0197792483670742,0.7152268957703658,0.7720763257501853,"[0.7720763257501853, 0.7325790892325152, 0.7360760032946122, 0.7565648488725412, 0.7152268957703658]"
41,41,exist21,41,"(2655, 2)","(886, 2)",0.7445448050622576,0.7170498084291188,"['davincis22', 'meoffendes21', 'misogyny_centrogeo']",41,"(2655, 2)",0.7388028672432657,0.0176227776448864,0.717071611253197,0.7605534784137028,"[0.758800817624347, 0.7268954509177973, 0.7306929780072848, 0.7605534784137028, 0.717071611253197]"
42,42,exist21,42,"(2655, 2)","(886, 2)",0.7414397985490127,0.7172413793103448,"['mexa3t18_aggress', 'metwo22', 'haha18']",42,"(2655, 2)",0.7391329744806635,0.0178902687603323,0.7172885254280603,0.764581744666513,"[0.764581744666513, 0.7344595097834067, 0.724616368286445, 0.7547187242388924, 0.7172885254280603]"
43,43,exist21,43,"(2655, 2)","(886, 2)",0.7458136068456278,0.7078544061302682,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",43,"(2655, 2)",0.7415059674532558,0.0203768613752566,0.7078948769364541,0.7644313523681081,"[0.7607064158656149, 0.7344293695131683, 0.7400678225829336, 0.7644313523681081, 0.7078948769364541]"
44,44,exist21,44,"(2655, 2)","(886, 2)",0.7459328222676785,0.7153256704980843,"['haha21', 'mexa3t18_aggress', 'metwo22']",44,"(2655, 2)",0.7383483009137072,0.016475679644333,0.7153724641025185,0.7608150525811771,"[0.7608150525811771, 0.7344595097834067, 0.7283038176184655, 0.7527906604829682, 0.7153724641025185]"
45,45,exist21,45,"(2655, 2)","(886, 2)",0.7424063901087972,0.7020434227330778,"['mexa3t18_aggress', 'haha18']",45,"(2655, 2)",0.7315929672294557,0.0200742885821406,0.7020667613636363,0.7570069919154869,"[0.7570069919154869, 0.7250227001872767, 0.7228453647780654, 0.7510230179028132, 0.7020667613636363]"
46,46,exist21,46,"(2655, 2)","(886, 2)",0.7423275321057385,0.7207535121328226,"['detoxis21_aggressiveness', 'meoffendes21', 'misogyny_centrogeo']",46,"(2655, 2)",0.7376339026409149,0.0174492345159369,0.7207567014412007,0.7606112777550984,"[0.7606112777550984, 0.7212796141296638, 0.7288049029622063, 0.7567170169164052, 0.7207567014412007]"
47,47,exist21,47,"(2655, 2)","(886, 2)",0.7504241257783075,0.7189655172413794,"['detoxis21_aggressiveness', 'misogyny_centrogeo', 'metwo22', 'haha18']",47,"(2655, 2)",0.7391777947873737,0.0152018676211568,0.7189987249654605,0.7588761174968073,"[0.7588761174968073, 0.7306624102154828, 0.7325563248396799, 0.7547953964194374, 0.7189987249654605]"
48,48,exist21,48,"(2655, 2)","(886, 2)",0.7470958534036751,0.7303320561941251,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'metwo22', 'haha18']",48,"(2655, 2)",0.7413630847070082,0.0175406962196169,0.7228453647780654,0.7664576357754951,"[0.7664576357754951, 0.7288049029622063, 0.7228453647780654, 0.7583205325140809, 0.7303869875051929]"
49,49,exist21,49,"(2655, 2)","(886, 2)",0.7457773016814278,0.7095785440613027,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21']",49,"(2655, 2)",0.738038134177694,0.0205665546599753,0.709609375,0.7645115854978164,"[0.7645115854978164, 0.7306929780072848, 0.7267403687470055, 0.7586363636363636, 0.709609375]"
50,50,exist21,50,"(2655, 2)","(886, 2)",0.754816330954977,0.722669220945083,[],50,"(2655, 2)",0.7402415181666477,0.0168699611974781,0.7226878217403199,0.7625223613595706,"[0.7625223613595706, 0.7269303201506591, 0.7303142125507438, 0.7587528750319448, 0.7226878217403199]"
51,51,misogyny_centrogeo,0,"(5752, 2)","(1439, 2)",0.9069835948606078,0.8913738118283573,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(5752, 2)",0.8935523953624156,0.0108392165208784,0.8824747052817228,0.9109160707098852,"[0.8824747052817228, 0.9109160707098851, 0.8998756218905473, 0.8825706466370307, 0.8919249322928924]"
52,52,misogyny_centrogeo,1,"(5752, 2)","(1439, 2)",0.9049507664036406,0.8913738118283573,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(5752, 2)",0.8925693756292452,0.0101058923792496,0.8833972486635007,0.9111109051705496,"[0.8833972486635007, 0.9111109051705497, 0.8929106875133861, 0.8835031045058974, 0.8919249322928924]"
53,53,misogyny_centrogeo,2,"(5752, 2)","(1439, 2)",0.9043369325476024,0.8940945077308713,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21']",2,"(5752, 2)",0.8932203572617177,0.0087545348176458,0.8835240725362585,0.9074043132522664,"[0.8835240725362585, 0.9074043132522664, 0.8954976618038711, 0.8843634611921904, 0.8953122775240012]"
54,54,misogyny_centrogeo,3,"(5752, 2)","(1439, 2)",0.903609283265692,0.8918422554786192,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'metwo22']",3,"(5752, 2)",0.893596380340582,0.009610412642748,0.8842553915653331,0.9110631011547116,"[0.8842553915653331, 0.9110631011547116, 0.8945737734975403, 0.8853657548883096, 0.8927238805970149]"
55,55,misogyny_centrogeo,4,"(5752, 2)","(1439, 2)",0.9071346266867067,0.8948452584816221,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(5752, 2)",0.89391618356314,0.0089875446274143,0.8842553915653331,0.908468619544061,"[0.8842553915653331, 0.908468619544061, 0.8961757820282925, 0.8845053426497206, 0.8961757820282925]"
56,56,misogyny_centrogeo,5,"(5752, 2)","(1439, 2)",0.9022302965851352,0.8940945077308713,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'haha21', 'meoffendes21']",5,"(5752, 2)",0.89387871892805,0.0083985342418103,0.8833326498509363,0.9075553413773716,"[0.8833326498509363, 0.9075553413773716, 0.8961757820282925, 0.8870175438596491, 0.8953122775240012]"
57,57,misogyny_centrogeo,6,"(5752, 2)","(1439, 2)",0.9028423861751856,0.892689176780086,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(5752, 2)",0.8943049651313825,0.0097213937512179,0.8841908919228507,0.9093331232739604,"[0.8841908919228507, 0.9093331232739605, 0.9007988162691496, 0.8842913066775655, 0.8929106875133862]"
58,58,misogyny_centrogeo,7,"(5752, 2)","(1439, 2)",0.9049507664036406,0.8913738118283573,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",7,"(5752, 2)",0.8925693756292452,0.0101058923792496,0.8833972486635007,0.9111109051705496,"[0.8833972486635007, 0.9111109051705497, 0.8929106875133861, 0.8835031045058974, 0.8919249322928924]"
59,59,misogyny_centrogeo,8,"(5752, 2)","(1439, 2)",0.9035321211260828,0.892689176780086,"['davincis22', 'exist21', 'haha21', 'mexa3t18_aggress', 'haha18']",8,"(5752, 2)",0.8943165639870463,0.0095929402258428,0.8841908919228507,0.908468619544061,"[0.8841908919228507, 0.908468619544061, 0.9017213142773681, 0.8842913066775655, 0.8929106875133862]"
60,60,misogyny_centrogeo,9,"(5752, 2)","(1439, 2)",0.90226840532464,0.8955960092323729,"['davincis22', 'exist21', 'meoffendes21']",9,"(5752, 2)",0.8933395847127692,0.0080028887636581,0.8816170539866076,0.9057775594807826,"[0.8816170539866076, 0.9057775594807826, 0.8926601308613014, 0.889603532686954, 0.8970396465482007]"
61,61,misogyny_centrogeo,10,"(5752, 2)","(1439, 2)",0.9084788380331166,0.8940945077308713,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress']",10,"(5752, 2)",0.8933708669041411,0.0088164434664844,0.8833326498509363,0.9074043132522664,"[0.8833326498509363, 0.9074043132522664, 0.8962997512437811, 0.8845053426497206, 0.8953122775240012]"
62,62,misogyny_centrogeo,11,"(5752, 2)","(1439, 2)",0.9050267938059026,0.8930614498796317,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",11,"(5752, 2)",0.8930231088203394,0.0104486420166513,0.8834307992202729,0.9119762074892336,"[0.8834610553977547, 0.9119762074892336, 0.8918617726897936, 0.8834307992202729, 0.8943857093046423]"
63,63,misogyny_centrogeo,12,"(5752, 2)","(1439, 2)",0.9070974641529146,0.8924068696795969,"['exist21', 'haha21', 'mexa3t18_aggress']",12,"(5752, 2)",0.8932798282480615,0.0084300356829933,0.8824747052817228,0.9058275957886937,"[0.8824747052817228, 0.9058275957886937, 0.8989517262186639, 0.8862959574923606, 0.8928491564588665]"
64,64,misogyny_centrogeo,13,"(5752, 2)","(1439, 2)",0.9035321211260828,0.8908091976273794,"['meoffendes21', 'metwo22', 'haha18']",13,"(5752, 2)",0.8932169391803008,0.0100717763863914,0.880627534751246,0.9110146953316344,"[0.880627534751246, 0.9110146953316345, 0.894695509388163, 0.8879490903025102, 0.89179786612795]"
65,65,misogyny_centrogeo,14,"(5752, 2)","(1439, 2)",0.905754163176527,0.8976621249348522,"['davincis22', 'exist21', 'mexa3t18_aggress', 'metwo22']",14,"(5752, 2)",0.8933858478316677,0.0092062648907803,0.8816170539866076,0.9076044336040012,"[0.8816170539866076, 0.9076044336040013, 0.8926601308613014, 0.8861562757473502, 0.8988913449590781]"
66,66,misogyny_centrogeo,15,"(5752, 2)","(1439, 2)",0.902919701918678,0.8955960092323729,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'metwo22']",15,"(5752, 2)",0.8926163672012588,0.0098297016717747,0.8797702880143237,0.9076044336040012,"[0.8797702880143237, 0.9076044336040013, 0.8944491286802796, 0.8842183391594884, 0.8970396465482007]"
67,67,misogyny_centrogeo,16,"(5752, 2)","(1439, 2)",0.9084788380331166,0.8933437569801206,"['haha21', 'mexa3t18_aggress', 'metwo22']",16,"(5752, 2)",0.8937311083076553,0.009095286296867,0.8816170539866076,0.9082691827072248,"[0.8816170539866076, 0.9082691827072247, 0.8971632611959854, 0.8871569149681797, 0.8944491286802797]"
68,68,misogyny_centrogeo,17,"(5752, 2)","(1439, 2)",0.902919701918678,0.8970975107338743,"['davincis22', 'exist21', 'metwo22']",17,"(5752, 2)",0.8933464666531881,0.0094334089891007,0.8807596917443903,0.9076044336040012,"[0.8807596917443903, 0.9076044336040013, 0.8935863311506285, 0.8860134036686436, 0.8987684730982768]"
69,69,misogyny_centrogeo,18,"(5752, 2)","(1439, 2)",0.9070219491708086,0.8913738118283573,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'haha18']",18,"(5752, 2)",0.894088814719737,0.0096108015995442,0.8842553915653331,0.9101001688168976,"[0.8842553915653331, 0.9101001688168975, 0.8990114075532785, 0.8851521733702843, 0.8919249322928924]"
70,70,misogyny_centrogeo,19,"(5752, 2)","(1439, 2)",0.9056024369444088,0.8924068696795969,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",19,"(5752, 2)",0.8932776735551047,0.0111758225640883,0.8799026143411977,0.9110631011547116,"[0.8799026143411977, 0.9110631011547116, 0.8990703913148499, 0.8835031045058974, 0.8928491564588665]"
71,71,misogyny_centrogeo,20,"(5752, 2)","(1439, 2)",0.9043369325476024,0.8948452584816221,"['davincis22', 'haha21', 'metwo22']",20,"(5752, 2)",0.8939257557216223,0.0109724432051952,0.8836452729627415,0.9137544659237944,"[0.8842553915653331, 0.9137544659237944, 0.89179786612795, 0.8836452729627415, 0.8961757820282925]"
72,72,misogyny_centrogeo,21,"(5752, 2)","(1439, 2)",0.9049507664036406,0.8921245625791081,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",21,"(5752, 2)",0.893431815545276,0.0102687417685945,0.8835031045058974,0.9119762074892336,"[0.8843191039311249, 0.9119762074892336, 0.8945737734975403, 0.8835031045058974, 0.8927868883025835]"
73,73,misogyny_centrogeo,22,"(5752, 2)","(1439, 2)",0.9042607455010954,0.8911876752785843,"['davincis22', 'detoxis21_aggressiveness', 'exist21', 'mexa3t18_aggress', 'haha18']",22,"(5752, 2)",0.8937899612942999,0.0092518999096109,0.8833326498509363,0.908468619544061,"[0.8833326498509363, 0.908468619544061, 0.8998756218905473, 0.8860852399073706, 0.8911876752785843]"
74,74,misogyny_centrogeo,23,"(5752, 2)","(1439, 2)",0.9055634970722202,0.8898723103268558,"['detoxis21_aggressiveness', 'exist21', 'metwo22', 'haha18']",23,"(5752, 2)",0.8934228278831714,0.0077078246291883,0.885972570508653,0.906590922265376,"[0.885972570508653, 0.906590922265376, 0.8974019616589772, 0.8869466706613738, 0.8902020143214764]"
